category_id,category_name,cat_base_popularity,cat_price_multiplier,season_amp,season_phase
1,cat_01,0.07015,0.955,0.261,5.056
2,cat_02,0.027367,1.249,0.339,2.435
3,cat_03,0.095838,0.807,0.114,1.812
4,cat_04,0.109479,1.495,0.13,4.288
5,cat_05,0.014463,1.318,0.164,0.878
6,cat_06,0.022778,1.432,0.066,1.256
7,cat_07,0.061981,1.069,0.045,0.046
8,cat_08,0.045421,1.624,0.166,4.944
9,cat_09,0.056013,1.554,0.079,4.177
10,cat_10,0.031193,1.451,0.234,4.431
11,cat_11,0.104891,0.925,0.153,4.905
12,cat_12,0.097689,1.17,0.291,2.883
13,cat_13,0.059356,0.789,0.245,3.574
14,cat_14,0.124762,0.889,0.109,0.878
15,cat_15,0.078618,1.365,0.291,0.72
