product_id,category_id,product_segment,base_price,quality_score,base_conversion,base_popularity,launch_day
1,12,midrange,34.04,0.502,0.0216,0.0001845318,75
2,9,budget,9.56,0.639,0.0318,0.0001823457,2
3,11,premium,169.03,0.857,0.0269,0.0002802507,126
4,13,budget,5.36,0.394,0.0255,0.0001857243,7
5,11,premium,220.96,0.722,0.0209,0.0002612395,46
6,11,midrange,109.75,0.573,0.0189,0.0001967115,357
7,11,premium,537.12,0.381,0.005,0.0002567427,312
8,5,budget,53.36,0.874,0.0326,0.0002929102,204
9,1,midrange,48.79,0.494,0.0197,0.0003651982,282
10,8,budget,40.55,0.951,0.0365,0.0006367859,178
11,4,midrange,128.98,0.677,0.0218,0.0003231169,219
12,8,budget,15.09,0.636,0.0298,0.0004409281,335
13,14,budget,9.83,0.567,0.0291,0.0001682874,28
14,4,budget,26.08,0.551,0.0244,0.0001826736,128
15,1,budget,28.51,0.863,0.035,0.0001590095,43
16,4,budget,22.74,0.758,0.0323,0.0001597125,290
17,4,midrange,49.31,0.83,0.0314,0.0002418165,300
18,12,budget,51.96,0.566,0.0219,0.0001655938,263
19,11,midrange,23.85,0.446,0.0212,0.0001997688,222
20,13,budget,32.5,0.315,0.0152,0.0002588726,174
21,12,midrange,138.44,0.832,0.0269,0.0002518601,8
22,8,midrange,205.13,0.561,0.0157,0.0001571642,282
23,14,budget,26.46,0.632,0.0272,0.0001534556,326
24,3,midrange,25.51,0.602,0.0263,0.0001788465,352
25,1,premium,442.22,0.573,0.0126,0.0005840109,124
26,2,midrange,131.75,0.763,0.0247,0.0001544106,73
27,12,budget,31.54,0.707,0.0291,0.0001592837,238
28,9,budget,16.11,0.979,0.0415,0.0001944297,6
29,3,midrange,24.04,0.354,0.0179,0.0001693669,21
30,9,budget,18.06,0.68,0.0305,0.0001742105,299
31,3,midrange,46.35,0.297,0.0131,0.0001985964,349
32,12,budget,22.31,0.856,0.0358,0.000799667,147
33,8,midrange,204.25,0.712,0.021,0.0002740805,185
34,7,budget,30.21,0.571,0.0245,0.0001522766,198
35,4,budget,35.03,0.852,0.0337,0.000192222,50
36,11,premium,164.77,0.591,0.0177,0.0002325239,81
37,7,premium,332.63,0.421,0.0086,0.0001775022,108
38,2,premium,268.04,0.604,0.016,0.0005852434,307
39,3,premium,133.55,0.303,0.0086,0.0002646387,159
40,15,budget,8.36,0.923,0.0423,0.0001655024,263
41,14,budget,10.57,0.798,0.0369,0.00015476,70
42,12,budget,11.76,0.82,0.0372,0.0001882865,347
43,4,budget,28.39,0.906,0.0365,0.0003300928,322
44,15,budget,9.28,0.844,0.039,0.0002331766,173
45,13,premium,143.18,0.574,0.0177,0.0001622986,82
46,12,budget,7.68,0.339,0.0221,0.0005775214,356
47,9,budget,33.95,0.53,0.0226,0.0001568253,294
48,4,budget,28.18,0.951,0.0381,0.0002186579,186
49,2,budget,14.79,0.962,0.0412,0.0002304021,97
50,14,budget,7.18,0.826,0.0395,0.0005935012,226
51,9,midrange,254.99,0.403,0.0092,0.0001756471,135
52,4,budget,29.12,0.396,0.0185,0.0002438043,246
53,5,midrange,117.26,0.91,0.0304,0.0001797943,303
54,11,premium,329.76,0.356,0.0064,0.0002244489,178
55,3,midrange,95.01,0.688,0.0235,0.0001552635,17
56,14,midrange,127.42,0.534,0.0168,0.0002471368,205
57,13,budget,10.24,0.477,0.0258,0.0001549538,313
58,12,budget,28.19,0.758,0.0313,0.00019585,81
59,8,budget,15.48,0.97,0.0413,0.0001672145,350
60,11,premium,450.57,0.833,0.0217,0.0003508012,132
61,11,midrange,44.48,0.615,0.0243,0.0001667297,249
62,12,budget,7.12,0.581,0.0309,0.0001759093,256
63,2,budget,51.39,0.931,0.0348,0.0002258942,66
64,8,midrange,218.89,0.684,0.0197,0.0002184504,14
65,1,midrange,36.17,0.622,0.0255,0.0002334038,346
66,9,midrange,278.31,0.762,0.0213,0.0001710057,255
67,6,premium,293.1,0.428,0.0094,0.0003085747,230
68,3,midrange,44.26,0.298,0.0133,0.0003303773,110
69,3,midrange,104.82,0.891,0.0302,0.0001965239,39
70,11,budget,10.25,0.705,0.0338,0.0002255197,99
71,3,budget,12.01,0.374,0.0215,0.0005233993,199
72,15,premium,688.71,0.474,0.0072,0.000243488,253
73,11,midrange,24.65,0.992,0.0401,0.0002068309,116
74,7,budget,15.02,0.726,0.0329,0.0001847928,78
75,11,midrange,36.52,0.727,0.0291,0.0002428411,91
76,1,budget,22.4,0.304,0.0165,0.0002366929,351
77,15,midrange,36.8,0.977,0.0378,0.000504118,230
78,9,budget,14.9,0.92,0.0397,0.0001637482,361
79,13,midrange,75.36,0.661,0.0236,0.0001742219,2
80,2,midrange,35.21,0.482,0.0207,0.0001819469,167
81,9,budget,21.82,0.774,0.033,0.0001571966,166
82,9,budget,39.21,0.875,0.034,0.0006661954,146
83,15,midrange,146.73,0.84,0.0269,0.0003853174,142
84,11,budget,6.72,0.983,0.0452,0.0004232567,28
85,9,budget,51.89,0.728,0.0276,0.0002516247,11
86,4,midrange,146.72,0.491,0.0147,0.0002446601,284
87,6,budget,17.02,0.623,0.0288,0.0002846232,160
88,10,budget,40.56,0.862,0.0334,0.0001920324,59
89,8,budget,42.26,0.449,0.0188,0.0001714937,126
90,1,midrange,71.48,0.424,0.0155,0.000249991,340
91,14,budget,16.43,0.794,0.0349,0.0002290057,170
92,14,budget,23.44,0.583,0.026,0.0004696115,361
93,3,budget,36.28,0.862,0.0339,0.0001790428,58
94,11,budget,17.81,0.358,0.0193,0.00016096,44
95,3,budget,24.71,0.502,0.023,0.0004739518,205
96,12,budget,31.45,0.451,0.0201,0.0001904719,249
97,4,budget,50.31,0.773,0.0293,0.0003233721,358
98,12,budget,48.04,0.819,0.0312,0.0002309924,170
99,12,premium,173.64,0.592,0.0175,0.0002046718,73
100,13,budget,6.61,0.609,0.0322,0.0001964953,197
101,3,budget,15.79,0.349,0.0195,0.0009044972,112
102,14,premium,256.16,0.776,0.0222,0.0003430828,65
103,4,premium,590.03,0.994,0.0261,0.0002843901,32
104,1,midrange,110.24,0.833,0.028,0.000183009,264
105,11,budget,36.28,0.417,0.0183,0.0002051356,234
106,7,budget,14.87,0.717,0.0327,0.0001912724,60
107,14,budget,22.66,0.471,0.0223,0.000828675,203
108,14,budget,7.93,0.273,0.0197,0.0006721292,323
109,5,budget,23.23,0.385,0.0191,0.0002486666,298
110,15,midrange,28.63,0.327,0.0162,0.0005923362,165
111,4,budget,24.75,0.397,0.0193,0.0001792131,20
112,10,midrange,96.15,0.847,0.029,0.0002711343,231
113,4,budget,39.47,0.47,0.0198,0.0002668696,188
114,15,budget,30.31,0.818,0.0331,0.0002136188,336
115,3,midrange,35.49,0.962,0.0375,0.0001831566,201
116,1,premium,87.19,0.681,0.0237,0.0003939295,269
117,8,budget,12.29,0.614,0.0298,0.0003514823,192
118,15,midrange,231.54,0.813,0.0239,0.0001977365,197
119,14,budget,34.2,0.323,0.0153,0.0001680925,115
120,13,budget,9.12,0.571,0.0296,0.0001861357,146
121,14,midrange,31.4,0.624,0.0262,0.0003974888,108
122,14,budget,12.85,0.873,0.0387,0.0002912165,168
123,10,budget,34.95,0.861,0.034,0.0001799682,347
124,5,budget,16.24,0.886,0.0382,0.0002572325,124
125,13,budget,5.42,0.773,0.0387,0.0001599338,169
126,12,budget,15.81,0.648,0.03,0.0002698591,345
127,7,budget,10.84,0.871,0.0394,0.000189974,55
128,2,premium,260.84,0.905,0.0266,0.0002695232,92
129,13,midrange,22.59,0.61,0.0271,0.0002614411,180
130,4,budget,33.83,0.989,0.0386,0.0001630847,149
131,15,budget,23.66,0.906,0.0373,0.0002976186,124
132,4,midrange,54.21,0.633,0.0241,0.0002096083,284
133,3,budget,14.79,0.302,0.0182,0.00108978,182
134,14,midrange,52.48,0.418,0.0167,0.0002507714,132
135,3,midrange,92.83,0.832,0.0287,0.0002141853,174
136,3,budget,33.25,0.333,0.0158,0.0001770963,323
137,11,budget,7.22,0.602,0.0316,0.0002228776,359
138,14,budget,31.66,0.704,0.0289,0.0001724037,88
139,4,budget,37.11,0.909,0.0354,0.0002515138,14
140,5,budget,31.93,0.885,0.0353,0.0003100781,11
141,13,premium,187.33,0.823,0.0252,0.0002505841,162
142,15,budget,16.37,0.556,0.0266,0.0004214834,229
143,9,midrange,31.46,0.357,0.0168,0.0001602928,18
144,3,midrange,139.77,0.752,0.0241,0.0001649578,185
145,1,budget,19.44,0.386,0.0199,0.0004416975,145
146,4,budget,20.18,0.671,0.0297,0.0001536415,340
147,3,budget,14.49,0.986,0.0422,0.0001661612,220
148,12,midrange,25.58,0.663,0.0284,0.0002854679,154
149,3,budget,6.87,0.734,0.0364,0.0002248311,214
150,10,midrange,114.13,0.758,0.0252,0.0001601971,49
