user_id,join_day,init_state,base_activity,price_sensitivity,cart_bias,country,primary_device
1,331,browser,1.6144,0.1784,0.0348,ES,app
2,113,new,0.2212,0.855,-0.9437,ES,mobile
3,329,new,0.5629,0.6692,-0.2595,IT,web
4,133,new,0.4205,0.7636,-0.6727,IT,web
5,57,new,1.1127,0.7497,0.0618,IT,mobile
6,122,new,0.4551,0.5976,-0.0559,IT,mobile
7,336,new,1.4479,0.6386,0.0929,IT,app
8,21,browser,0.4858,0.5964,-0.3533,ES,web
9,196,new,0.2055,0.2083,-0.317,FR,app
10,47,new,0.2281,0.234,-0.7747,DE,mobile
11,63,new,0.3161,0.4951,-0.6107,IT,app
12,203,new,0.6229,0.4265,0.082,DE,mobile
13,358,new,0.4182,0.8154,-0.1215,ES,web
14,279,new,0.3283,0.7633,-0.2135,IT,web
15,30,new,0.7825,0.5697,0.1917,FR,web
16,218,new,0.1236,0.4976,-0.705,NL,web
17,88,new,0.1804,0.5876,0.0021,IT,app
18,345,new,0.0932,0.4445,-0.6627,ES,web
19,54,new,0.715,0.2393,0.2673,IT,web
20,362,new,0.3488,0.3419,-0.0594,IT,web
21,41,new,0.6259,0.8675,0.0876,IT,mobile
22,49,new,0.3464,0.9543,-0.4956,IT,web
23,193,new,0.6458,0.7557,0.5137,FR,web
24,127,new,0.3431,0.6095,0.4495,IT,app
25,101,new,0.9105,0.3693,-0.0994,ES,web
26,265,new,0.4253,0.591,0.1613,DE,app
27,96,new,1.0719,0.0507,-0.3557,DE,web
28,65,new,1.8176,0.7694,-0.694,IT,mobile
29,100,new,0.1506,0.2535,0.0285,IT,mobile
30,143,new,0.3543,0.8377,-0.5718,IT,web
31,260,new,0.4102,0.9697,0.2086,IT,mobile
32,326,new,0.3778,0.5471,0.1168,IT,web
33,14,new,0.2956,1.125,-0.1677,IT,web
34,36,new,0.2741,0.2564,-0.1872,ES,app
35,27,new,0.8534,0.1474,0.0963,IT,app
36,339,new,0.3538,0.656,-0.1539,IT,web
37,214,new,1.4062,0.7188,-0.3916,DE,mobile
38,258,new,0.4919,0.5873,-0.7801,NL,web
39,132,new,0.7173,0.5308,0.0856,ES,web
40,48,new,0.4986,1.0165,-0.1217,IT,web
41,5,browser,0.3906,0.5222,0.7145,ES,mobile
42,34,new,0.7696,0.4365,-0.2836,IT,mobile
43,303,new,0.1935,0.9243,-0.1443,DE,mobile
44,108,new,0.1366,0.7728,-0.1361,IT,app
45,37,new,0.4487,0.817,-0.0222,ES,mobile
46,167,new,0.5825,0.6553,-0.5884,IT,web
47,101,new,0.4305,0.3723,-0.277,FR,web
48,157,new,0.5325,0.6352,0.0397,FR,mobile
49,46,new,1.5115,0.3475,-0.3665,FR,web
50,127,new,0.163,0.6636,0.0266,IT,web
51,268,new,0.4294,0.7376,-0.2161,ES,web
52,352,new,0.759,0.8136,-0.1093,ES,mobile
53,147,new,0.4043,0.6034,0.1529,FR,mobile
54,8,new,0.179,0.7547,-0.3296,IT,mobile
55,184,new,0.3062,0.2423,-0.7581,IT,mobile
56,238,new,0.4997,0.794,-0.3432,FR,app
57,58,new,0.9877,0.7414,-0.5389,IT,app
58,168,new,0.1254,0.476,-0.994,ES,web
59,83,new,0.4487,0.7155,-0.2873,IT,mobile
60,116,new,0.2203,0.8161,-0.1803,FR,web
61,63,new,0.4864,0.6342,0.1073,IT,app
